provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:46:54,Dudley Street Car Park,UKN-70515,Type 2,Other,7,Available,null,1,,,"Dudley Street 
Birmingham
West Midlands
B5 4PJ",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:47:20,Margaret Street,UKN-70531,Type 2,Charge Your Car,22,Out of service,null,1,,,"Birmingham 
West Midlands
B3 3BX",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:47:46,Town Hall Car Park,UKN-70521,Type 2,Charge Your Car,7,Issues reported,null,1,,,"Brunel Street
Birmingham
West Midlands
B5 4AF",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:48:13,Pershore Street Car Park,UKN-70518,Type 2,Other,7,Available,null,1,,,"Pershore Street
Birmingham
West Midlands
B5 6PA",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:48:40,Town Hall Car Park,UKN-70521,Type 2,Other,7,Issues reported,null,1,,,"Brunel Street
Birmingham
West Midlands
B5 4AF",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:49:07,Brindley Drive Car Park,UKN-70524,Type 2,ZeroNet,3,Out of service,null,1,,,"Paradise Circus
Brindley Drive
Birmingham 
West Midlands
B1 2NB",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:49:33,Fellows Auctioneers Ltd,UKEV3967/UKEV3968/UKEV3969,Type 2,ZeroNet,22,Available,null,1,,,"Augusta House
19 Augusta Street
Birmingham
West Midlands
B18 6JA",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:50:00,Saren Engineering Birmingham,12107702W,null,Other,null,Out of service,null,1,,,"43 Great Lister Street
Birmingham
West Midlands
B7 4LW",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:50:26,Fellows Auctioneers Ltd,UKEV3967/UKEV3968/UKEV3969,Type 2,EV Charge.Online,22,Available,null,1,,,"Augusta House
19 Augusta Street
Birmingham
West Midlands
B18 6JA",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:50:53,Pershore Street Car Park,UKN-70518,Type 2,Other,7,Available,null,1,,,"Pershore Street
Birmingham
West Midlands
B5 6PA",
